"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID"
4.2,"A",0.956,0,6.47,2000,1,14,"2000/1",664040.5343,6048763.922,"20000114.t5"
3.706,"A",0.956,35,6.26,2000,1,14,"2000/1",663989.4752,6049262.601,"20000114.t5"
3.215,"A",0.956,6,5.97,2000,1,14,"2000/1",663956.2885,6049761.625,"20000114.t5"
2.728,"A",0.956,53,5.98,2000,1,14,"2000/1",663927.3852,6050261.368,"20000114.t5"
2.263,"A",0.956,0,5.66,2000,1,14,"2000/1",663947.9519,6050761.733,"20000114.t5"
1.81,"A",0.956,8,5.44,2000,1,14,"2000/1",663956.0866,6051261.719,"20000114.t5"
1.369,"A",0.956,0,4.78,2000,1,14,"2000/1",663957.3483,6051761.76,"20000114.t5"
0.983,"A",0.956,0,3.73,2000,1,14,"2000/1",663954.7638,6052261.933,"20000114.t5"
0.66,"A",0.956,0,0.71,2000,1,14,"2000/1",663896.9193,6052761.032,"20000114.t5"
0.565,"A",0.956,0,0.56,2000,1,14,"2000/1",663906.8665,6053261.833,"20000114.t5"
0.808,"A",0.956,0,0.78,2000,1,14,"2000/1",663922.4361,6053762.505,"20000114.t5"
1.234,"A",0.956,0,1.05,2000,1,14,"2000/1",663989.3674,6054259.239,"20000114.t5"
1.695,"A",0.956,0,1.31,2000,1,14,"2000/1",664047.5119,6054755.977,"20000114.t5"
1.926,"A",0.956,0,1.18,2000,1,14,"2000/1",664123.2204,6055251.735,"20000114.t5"
1.838,"A",0.956,0,1.39,2000,1,14,"2000/1",664144.3791,6055752.503,"20000114.t5"
1.505,"A",0.956,0,1.42,2000,1,14,"2000/1",664070.466,6056255.764,"20000114.t5"
1.048,"A",0.956,0,1.38,2000,1,14,"2000/1",664150.6352,6056752.901,"20000114.t5"
0.625,"A",0.956,0,1.08,2000,1,14,"2000/1",664208.5074,6057249.857,"20000114.t5"
0.218,"A",0.956,0,0.62,2000,1,14,"2000/1",664358.8901,6057736.356,"20000114.t5"
0.112,"A",0.270588152,0,0.71,2000,1,14,"2000/1",666186.5144,6059827.16,"20000114.t6"
0.172,"A",0.956,0,0.85,2000,1,14,"2000/1",666237.4309,6059507.362,"20000114.t6"
0.185,"A",0.956,0,0.89,2000,1,14,"2000/1",666224.0273,6059006.06,"20000114.t6"
0.67,"A",0.956,0,2.16,2000,1,14,"2000/1",666174.0567,6058507.433,"20000114.t6"
1.159,"A",0.956,0,2.03,2000,1,14,"2000/1",666179.1709,6058005.318,"20000114.t6"
1.66,"A",0.956,0,1.35,2000,1,14,"2000/1",666103.7605,6057509.549,"20000114.t6"
2,"A",0.956,0,2.11,2000,1,14,"2000/1",666031.8552,6057014.521,"20000114.t6"
2.189,"A",0.956,0,2.3,2000,1,14,"2000/1",665926.8764,6056524.085,"20000114.t6"
2.49,"A",0.956,0,1.73,2000,1,14,"2000/1",665855.7965,6056027.294,"20000114.t6"
